Adaptus,Alex Wong & Matt Meyers & ,2002,1-10 employees,Self-funded,Horizontal,Cybersecurity,B2B SaaS,Startup,www.adaptus.com,https://www.linkedin.com/company/adaptus/about/,"12407 North Mopac Expwy, Austin, TX 78758"
Adia,Elizabeth Wong & Kaylan Millis & Ernesto Lamaina & ,2018,11-50 employees,Self-funded,"Entertainment, Hospitality, Travel",HR and Recruiting,B2B SaaS,Small,adia.works,https://www.linkedin.com/company/adia-us/about/,"Austin, TX"
Adjacent Technologies,David Parks & ,2001,11-50 employees,Acquired,Horizontal,Document Management,B2B SaaS,Small,http://www.adjacent-tech.com/who-we-are/careers/,https://www.linkedin.com/company/adjacent-technologies/about/,"10415 Morado Circle, Bldg 1, Ste. 120, Austin, TX 78759, US"
ADP,Gus Blanchard & ,1949,"10,001+ employees",Public,Horizontal,Accounting and Finance,B2B SaaS,Large,https://jobs.adp.com/?rb=ADP_COM,https://www.linkedin.com/company/adp/about/,"14205 North Mopac Expressway, Austin, TX 78728"
AdRobin,Saru Saadeh & ,2019,1-10 employees,Self-funded,Horizontal,Sales and Marketing,B2B SaaS,Startup,www.adrobin.co,https://www.linkedin.com/company/adrobin/about/,"Round Rock, TX"
Advanced Scanners,Aaron Bernstein & Andy Stewart & Jeff Levine & ,2017,1-10 employees,Other,Healthcare,Automation,B2B SaaS,Startup,www.advancedscanners.com,https://www.linkedin.com/company/advanced-scanners/about/,"Austin, TX"
AffiniPay,Christian Fadel & Tom West & ,2005,51-200 employees,Acquired,Horizontal,Accounting and Finance,B2B SaaS,Medium,https://affinipay.com/about/join-us/,https://www.linkedin.com/company/affinipay/about/,"3700 N Capital of Texas Highway, Suite 300, Austin, TX 78746"
AgencyKPI,Trent Richmond & Jason Meeker & Bobby Billman & ,2017,11-50 employees,VC-funded,Financial Services,Analytics and BI,B2B SaaS,Small,www.agencykpi.com,https://www.linkedin.com/company/agencykpi/about/,"5000 Plaza on the Lake, 195, Austin, TEXAS 78746, US"
AgileAssets,Joe Gravey & Stuart Hudson & ,1994,51-200 employees,Self-funded,Horizontal,Accounting and Finance,B2B SaaS,Medium,https://www.agileassets.com/careers/,https://www.linkedin.com/company/agileassets-inc-/about/,"3001 Bee Caves Road, Suite 200, Austin, TX 78746"
AgileLaw,Thomas Allen & ,2012,1-10 employees,Self-funded,Legal,Document Management,B2B SaaS,Startup,www.agilelaw.com,https://www.linkedin.com/company/agilelaw/about/,"10900 Research Blvd #160C-4, Austin, TX 78759"
